,0
1302,25.01
1303,25.17
1304,25.63
1305,25.63
1306,26.02
1307,26.83
1308,25.97
1309,25.81
1310,26.87
1311,27.15
1312,26.92
1313,27.3
1314,27.61
1315,27.48
1316,27.36
1317,27.39
1318,27.28
1319,26.42
1320,26.27
1321,26.18
1322,25.42
1323,25.83
1324,25.72
1325,26.54
1326,26.87
1327,26.99
1328,26.64
1329,26.9
1330,26.7
1331,26.65
1332,26.76
1333,26.55
1334,26.31
1335,26.06
1336,26.93
1337,26.76
1338,26.75
1339,26.16
1340,26.28
1341,25.61
1342,25.45
1343,25.0
1344,25.19
1345,24.66
1346,23.99
1347,24.28
1348,24.26
1349,24.57
1350,24.44
1351,24.17
1352,24.6
1353,24.28
1354,23.81
1355,23.83
1356,23.24
1357,22.78
1358,21.82
1359,21.94
1360,22.29
1361,22.61
1362,22.03
1363,22.52
1364,21.97
1365,21.87
1366,21.9
1367,21.79
1368,22.95
1369,22.5
1370,22.62
1371,21.14
1372,21.29
1373,22.02
1374,21.82
1375,21.38
1376,21.8
1377,21.97
1378,21.39
1379,21.61
1380,21.61
1381,21.44
1382,21.31
1383,21.38
1384,21.98
1385,22.32
1386,21.9
1387,21.85
1388,22.04
1389,21.54
1390,21.86
1391,22.01
1392,22.04
1393,21.99
1394,22.87
1395,22.92
1396,23.09
1397,23.43
1398,23.17
1399,22.98
1400,23.0
1401,23.01
1402,23.26
1403,23.32
1404,23.79
1405,24.1
1406,24.07
1407,24.09
1408,24.09
1409,24.28
1410,24.14
1411,24.04
1412,23.93
1413,24.49
1414,24.92
1415,24.79
1416,25.02
1417,25.28
1418,24.98
1419,25.24
1420,24.69
1421,24.72
1422,24.8
1423,25.12
1424,25.49
1425,25.5
1426,24.99
1427,24.45
1428,24.32
1429,24.37
1430,24.1
1431,24.04
1432,23.9
1433,23.74
1434,22.25
1435,21.57
1436,21.32
1437,21.3
1438,21.65
1439,21.43
1440,21.34
1441,21.22
1442,21.24
1443,21.38
1444,21.17
1445,20.67
1446,20.72
1447,21.48
1448,21.4
1449,21.64
1450,21.56
1451,21.79
1452,22.07
1453,22.4
1454,22.8
1455,22.98
1456,22.97
1457,22.85
1458,22.53
1459,22.36
1460,22.41
1461,22.57
1462,22.66
1463,22.64
1464,22.81
1465,22.62
1466,22.28
1467,22.3
1468,22.23
1469,22.32
1470,21.82
1471,21.76
1472,21.95
1473,21.87
1474,21.99
1475,21.37
1476,21.06
1477,21.42
1478,21.6
1479,21.88
1480,21.94
1481,21.74
1482,21.86
1483,21.96
1484,22.13
1485,22.19
1486,22.29
1487,22.17
1488,22.61
1489,22.61
1490,22.85
1491,22.86
1492,22.88
1493,22.75
1494,22.58
1495,22.28
1496,22.12
1497,23.56
1498,23.88
1499,23.85
1500,24.27
1501,23.91
1502,24.21
